,Job_Titles,Job_Links,Job_Skills,Job_Types,Companies_Name,Companies_Location
0,Senior Machine Learning Engineer,https://wuzzuf.net/jobs/p/YDxhBIJimaOR-Senior-Machine-Learning-Engineer-Media-Sci-Cairo-Egypt?o=1&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Machine Learning · Software Engineering · Python · OOP · NLP,Full TimeWork From Home,Media Sci,"New Cairo, Cairo, Egypt"
1,Machine Learning Engineer,https://wuzzuf.net/jobs/p/63GDVXe1mip9-Machine-Learning-Engineer-Edentech-Giza-Egypt?o=2&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Engineering · Computer Science · Information Technology (IT) · Machine Learning · SQL,Full Time,Edentech,"Dokki, Giza, Egypt"
2,Research Software Development Engineer L2,https://wuzzuf.net/jobs/p/yhXbcd0M8byl-Research-Software-Development-Engineer-L2-TensorGraph-Cairo-Egypt?o=3&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Machine Learning · NodeJS · Python · AWS · Algorithms · Data Structures,Full Time,TensorGraph,"Maadi, Cairo, Egypt"
3,Data Scientist,https://wuzzuf.net/jobs/p/MXunj0kftZ1D-Data-Scientist-BlinkApp-Cairo-Egypt?o=4&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Information Technology (IT) · Machine Learning · MongoDB · Naive Bayes · NLP,Full Time,BlinkApp,"Nasr City, Cairo, Egypt"
4,Software Team Lead,https://wuzzuf.net/jobs/p/tDpJrj9GeBO6-Software-Team-Lead-TMentors-Cairo-Egypt?o=5&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeManager · 8 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Lead · Software Development · Software Engineering · team lead · Software · Design Patterns · SOLID Principles,Full Time,TMentors,"Maadi, Cairo, Egypt"
5,Python Developer - Internship,https://wuzzuf.net/internship/ks2Azi1kboPo-Python-Developer---Internship-TMentors-Cairo-Egypt?o=6&l=sp&t=sj&a=machine%20learning|search-v3|hpb,InternshipStudent · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Software Development · RPA · Data Science · AI · Machine Learning · Automation,Internship,TMentors,"Maadi, Cairo, Egypt"
6,Senior Research Scientist,https://wuzzuf.net/jobs/p/WjuL0LeHiwuo-Senior-Research-Scientist-Atomica-Cairo-Egypt?o=7&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Analyst/Research · Artificial Intelligence (AI) · Computer Vision · Image Processing · Computational Geometry · Mathematics · C++ · Software Development · Software Engineering,Full Time,Atomica,"Cairo, Egypt"
7,Junior Production Engineer,https://wuzzuf.net/jobs/p/45lysRZRecXG-Junior-Production-Engineer-Delta-Egypt-For-Lighting-Cairo-Egypt?o=8&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 1 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical · Production · Engineering · Mechanical Engineering · AutoCAD · ERP · ISO 90001 · Press Machines · Manufacturing,Full Time,Delta Egypt For Lighting,"Obour City, Cairo, Egypt"
8,Training Section Head,https://wuzzuf.net/jobs/p/KY4bSeU9W8aU-Training-Section-Head-Giza-Cable-Industries-Giza-Egypt?o=9&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeManager · 10 - 20 Yrs of Exp · Training/Instructor · Engineering · Training · Machine Learning,Full Time,Giza Cable Industries,"6th of October, Giza, Egypt"
9,Senior Java Developer,https://wuzzuf.net/jobs/p/1TQAeepNOzTT-Senior-Java-Developer-Media-Sci-Cairo-Egypt?o=10&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Python · MySQL · Software Development · Software Engineering · SOAP · Git,Full TimeWork From Home,Media Sci,"New Cairo, Cairo, Egypt"
10,Junior Embedded Software Engineer,https://wuzzuf.net/jobs/p/etWvboHXv2KK-Junior-Embedded-Software-Engineer-Swift-Act-Cairo-Egypt?o=11&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Software Development · Computer Science · Software Engineering · C · Design · English · Information Technology (IT),Full Time,Swift Act,"Cairo, Egypt"
11,"Data Analyst, Egypt Impact Lab",https://wuzzuf.net/jobs/p/pupdhlXqPr2x-Data-Analyst-Egypt-Impact-Lab-National-Institute-for-Governance-and-Development-Cairo-Egypt?o=12&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 5 Yrs of Exp · Analyst/Research · Customer Experience · Computer Science · Database SQL Server · Business Analysis,Full Time,National Institute for Governance and Development,"Nasr City, Cairo, Egypt"
12,Outdoor Sales Engineer,https://wuzzuf.net/jobs/p/iDRrxWxaWVh7-Outdoor-Sales-Engineer-ACFET-Cairo-Egypt?o=13&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 4 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Electrical · Electrical Engineering · Outdoor Sales · Sales · Engineering · sales skills · Sales Target · English,Full Time,ACFET,"10th of Ramadan City, Cairo, Egypt"
13,Senior Odoo Developer,https://wuzzuf.net/jobs/p/agIv6WyiyzOh-Senior-Odoo-Developer-Blue-Ribbon-Cairo-Egypt?o=14&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Odoo · Computer Science · CSS · Git · HTML · JavaScript,Full Time,Blue Ribbon,"New Cairo, Cairo, Egypt"
14,IT Technical Support - (Help Desk),https://wuzzuf.net/jobs/p/bJ0PHeQCefXj-IT-Technical-Support---Help-Desk-Raya-Customer-Experience-Cairo-Egypt?o=15&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Interpersonal skills · Information Technology (IT) · CCNA · Computer Science · Customer Support · Technical Support,Full Time,Raya Customer Experience,"Abbassia, Cairo, Egypt"
15,Distribution manager,https://wuzzuf.net/jobs/p/7yVywpJez0eW-Distribution-manager-MEC-Sohag-Egypt?o=16&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeManager · 10+ Yrs of Exp · males_only · Customer Service/Support · Operations/Management · Communication · Sales · Customer Service · Negotiation · Distribution · Pharmaceutical,Full Time,MEC,"Sohag, Egypt"
16,HR Business Partner,https://wuzzuf.net/jobs/p/KWSpfwYullLN-HR-Business-Partner-EasyKash-Giza-Egypt?o=17&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimePart TimeExperienced · 2 - 5 Yrs of Exp · females_preferred · Human Resources · Human Resources (HR) · Recruitment · Talent Acquisition · Personnel · HR · Business Administration · Labor · Administration · business,Full TimePart Time,EasyKash,"Dokki, Giza, Egypt"
17,Administrator (Helpdesk),https://wuzzuf.net/jobs/p/YmXXOb6m6KSK-Administrator-Helpdesk-Raya-Giza-Egypt?o=18&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Admin · IT · SCCM · Software · ITIL · CCNA · Helpdesk,Full Time,Raya,"6th of October, Giza, Egypt"
18,Electronics Maintenance Engineer,https://wuzzuf.net/jobs/p/Yncr9w7VinnH-Electronics-Maintenance-Engineer-Cairo-Egypt?o=19&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Electronic Engineering · Electronic · Engineering · Leadership · Mechanical Engineering,Full Time,Confidential,"Cairo, Egypt"
19,Application Support Engineer,https://wuzzuf.net/jobs/p/W7hQTnpL8wuO-Application-Support-Engineer-Caelum-Egypt-Giza-Egypt?o=20&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Communication skills · Computer Engineering · Computer Science · CRM · Customer Support · English · Information Technology (IT) · Software,Full Time,Caelum Egypt,"Dokki, Giza, Egypt"
20,QA Validation and Qualification Officer,https://wuzzuf.net/jobs/p/KV2r7vWQrPHM-QA-Validation-and-Qualification-Officer-APEX-Pharma-Cairo-Egypt?o=21&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3 - 5 Yrs of Exp · Quality · Pharmaceutical · Pharmaceutical · Quality Assurance,Full Time,APEX Pharma,"Badr City, Cairo, Egypt"
21,Junior Python Developer,https://wuzzuf.net/jobs/p/0yvTijkcosNQ-Junior-Python-Developer-RDI-Giza-Egypt?o=22&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · SQL · MySQL · RESTful · JavaScript · Django · Flask · Docker,Full Time,RDI,"Dokki, Giza, Egypt"
22,Business System Analyst,https://wuzzuf.net/jobs/p/QXK4900FX49X-Business-System-Analyst-GS1-Cairo-Egypt?o=23&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Business Analysis · Computer Science · Information Technology (IT) · analytical · Design · Microsoft Office,Full Time,GS1,"Heliopolis, Cairo, Egypt"
23,Odoo Developer & Pre-Sales Specialist,https://wuzzuf.net/jobs/p/m0lKvrs7EIs1-Odoo-Developer-Pre-Sales-Specialist-Elitbuzz-Cairo-Egypt?o=24&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · SW Development · Pre-Sales · ERP Implementation · ERP Software · Communication · Communication skills · Computer Science,Full Time,Elitbuzz,"Maadi, Cairo, Egypt"
24,Snowflakes DW developer,https://wuzzuf.net/jobs/p/NCFm6413BhR7-Snowflakes-DW-developer-FlairsTech-Cairo-Egypt?o=25&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · SQL · ETL · Snowflake,Full Time,FlairsTech,"Maadi, Cairo, Egypt"
25,Software Architect,https://wuzzuf.net/jobs/p/0kUJIMSomjmV-Software-Architect-Perfect-Presentation-Giza-Egypt?o=26&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 10+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Development · Computer Engineering · Computer Science,Full Time,Perfect Presentation,"6th of October, Giza, Egypt"
26,NGenius POS Developer,https://wuzzuf.net/jobs/p/9SRldxbI7qft-NGenius-POS-Developer-Network-International--Egypt-Cairo-Egypt?o=27&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 6 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Java · DevOps · Dagger · MongoDB · Git · Android SDK · Payment Solutions,Full Time,Network International  Egypt,"New Cairo, Cairo, Egypt"
27,Sales Manager,https://wuzzuf.net/jobs/p/nYGSHAY3kiIA-Sales-Manager-Misr-salt-Sharqia-Egypt?o=28&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeManager · 8+ Yrs of Exp · Operations/Management · Sales/Retail · Sales · Food Industry · Communication · Sales Target · B2B Sales · Food · Negotiation · Pricing,Full Time,Misr salt,"10th of Ramadan City, Sharqia, Egypt"
28,Data Entry Specialist,https://wuzzuf.net/jobs/p/hxwySiYEX7QV-Data-Entry-Specialist-Botit-Cairo-Egypt?o=29&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 3 Yrs of Exp · Administration · Writing/Editorial · Data Entry · Microsoft office · Typing speed · Speed · MS Office · MS · office · Typing,Full Time,Botit,"Abdeen, Cairo, Egypt"
29,Backend Developer,https://wuzzuf.net/jobs/p/ZKi6JqDbkE2Y-Backend-Developer-Nile-University-Giza-Egypt?o=30&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Engineering · Computer Science · CSS · HTML · MySQL · Software Development · Information Technology (IT),Full Time,Nile University,"Sheikh Zayed, Giza, Egypt"
30,Front End Developer,https://wuzzuf.net/jobs/p/HBU9AY1aefW3-Front-End-Developer-Nile-University-Giza-Egypt?o=31&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · Computer Engineering · CSS · HTML · Information Technology (IT) · JavaScript · jQuery,Full Time,Nile University,"Sheikh Zayed, Giza, Egypt"
31,Mechanical Engineer - Pharmaceutical Industry,https://wuzzuf.net/jobs/p/csfKrQZUwUg0-Mechanical-Engineer---Pharmaceutical-Industry-Global-Napi-Pharmaceuticals-Giza-Egypt?o=32&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 7 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · Industrial · Mechanical Engineering · autocad · pneumatic system · hydraulic system · Communication skills · Electrical Engineering · English · Engineering,Full Time,Global Napi Pharmaceuticals,"6th of October, Giza, Egypt"
32,Computer Vision Engineer,https://wuzzuf.net/jobs/p/RaI3XrJXdV83-Computer-Vision-Engineer-Edentech-Cairo-Egypt?o=33&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 4 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Git · Software Development,Full Time,Edentech,"Cairo, Egypt"
33,Full Stack Developer (.Net Core & Angular 9),https://wuzzuf.net/jobs/p/SA8PUX5eQl9I-Full-Stack-Developer-Net-Core-Angular-9-JRM-for-Communications-Cairo-Egypt?o=34&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Full Stack · .Net · Scrum · Agile · Git · Sass,Full Time,JRM for Communications,"Nasr City, Cairo, Egypt"
34,Data Engineer,https://wuzzuf.net/jobs/p/YgnlNerNUQml-Data-Engineer-Centro-CDX-Cairo-Egypt?o=35&l=sp&t=sj&a=machine%20learning|search-v3|hpb,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Data · Database · Engineering · Information Technology (IT) · IT,Full Time,Centro CDX,"Maadi, Cairo, Egypt"
